"gene","GO_terms"
"IGF2",143
"INS-IGF2",0
"INS",176
"TH",55
"ASCL2",92
"C11orf21",0
"TSPAN32",42
"CD81",113
"TSSC4",0
"TRPM5",2
"KCNQ1",54
"MYT1L",5
"TSSC1",0
"TRAPPC12",3
"ADI1",0
"RP13-512J5.1",0
"RNASEH1",1
"RPS7",34
"COLEC11",21
"ALLC",0
"DCDC2C",0
"CSMD1",30
"MAD1L1",47
"FTSJ2",0
"NUDT1",15
"SNX8",0
"EIF3B",2
"CHST12",3
"LFNG",31
"BRAT1",12
"IQCE",4
"TTYH3",0
"AMZ1",0
"GNA12",59
"CARD11",80
"IRX1",29
"RNF4",7
"FAM193A",0
"TNIP2",44
"SH3BP2",3
"PRMT8",9
"GYG2",9
"ARSD",0
"ARSE",0
"ARSH",0
"ARSF",0
"EFCAB4B",0
"PARP11",0
"CCND2",50
"C12orf5",0
"FGF23",55
"FGF6",18
"C12orf4",28
"RAD51AP1",20
"DYRK4",7
"C18orf42",0
"ZBTB14",9
"EPB41L3",11
"CXorf28",0
"MXRA5",1
"PRKX",27
"RP11-706O15.1",0
"PFKP",8
"PITRM1",1
"KLF6",6
"C20orf194",0
"ATRN",10
"GFRA4",8
"ADAM33",0
"SIGLEC1",6
"HSPA12B",0
"C20orf27",0
"SPEF1",14
"CENPB",2
"CDC25B",29
"AP5S1",1
"MAVS",72
"PANK2",10
"RNF24",0
"RP11-352D3.2",0
"SMOX",1
"ADRA1D",1
"PRNP",109
"PRND",1
"PRNT",0
"RASSF2",46
"SLC23A2",20
"TMEM230",0
"PCNA",64
"CDS2",0
"RFX3",34
"AL365202.1",0
"GLIS3",4
"SLC22A23",0
"PXDC1",0
"FAM50B",0
"C6ORF50",0
"PRPF4B",4
"FAM217A",0
"C6orf201",0
"ECI2",0
"CDYL",12
"RPP40",1
"PPP1R3G",31
"LYRM4",0
"FARS2",1
"RP11-500M8.7",0
"AKAP3",2
"NDUFA9",3
"RP11-234B24.6",0
"AKR1E2",0
"AKR1C1",10
"AKR1C2",14
"AKR1C3",59
"SLC1A1",47
"SPATA6L",0
"PPAPDC2",0
"CDC37L1",1
"AK3",9
"RCL1",1
"AL158147.2",0
"JAK2",284
"AL161450.1",0
"INSL6",0
"INSL4",1
"RLN2",8
"RLN1",2
"PLGRKT",4
"CD274",88
"PDCD1LG2",57
"KIAA1432",0
"GALNT8",0
"KCNA6",1
"KCNA1",22
"MAP2K2",91
"CREB3L3",9
"SIRT6",156
"ANKRD24",12
"EBI3",43
"CCDC94",0
"SHD",3
"TMIGD2",47
"FSD1",2
"STAP2",3
"MPND",1
"SH3GL1",2
"CHAF1A",3
"UBXN6",2
"HDGFRP2",0
"PLIN4",0
"PLIN5",23
"CTB-50L17.14",0
"ADAMTS16",28
"SUMF1",0
"SETMAR",21
"ITPR1",32
"AC018816.3",0
"BHLHE40",18
"ERMP1",3
"KIAA2026",0
"MLANA",0
"RANBP6",5
"KCNA5",50
"FOXK1",26
"AP5Z1",2
"RADIL",11
"PAPOLB",0
"MMD2",15
"RBAK-RBAKDN",0
"RBAK",0
"WIPI2",10
"IL33",97
"TPD52L3",0
"UHRF2",8
"C9orf38",0
"GLDC",2
"NLGN4X",12
"NTF3",57
"ANO2",0
"VWF",8
"CD9",40
"PLEKHG6",3
"TNFRSF1A",59
"SCNN1A",22
"LTBR",32
"CD27",60
"TAPBPL",2
"VAMP1",2
"MRPL51",0
"NCAPD2",8
"GAPDH",24
"IFFO1",0
"NOP2",3
"CHD4",27
"TMEM200C",0
"L3MBTL4",2
"RP11-865B13.1",0
"ARHGAP28",10
"GPCPD1",4
"C20orf196",0
"CHGB",0
"UCN3",38
"TUBAL3",3
"NET1",29
"CALML5",1
"CALML3",0
"ASB13",0
"FAM208B",0
"GDI2",6
"ANKRD16",1
"FBXO18",0
"IL15RA",32
"IL2RA",80
"RBM17",0
"PFKFB3",3
"DKFZP667F0711",0
"PRKCQ",123
"SFMBT2",5
"KDM4C",28
"VCX3A",0
"MED10",3
"UBE2QL1",0
"NSUN2",29
"SRD5A1",69
"LAMA1",30
"NRN1",4
"F13A1",6
"MCPH1",13
"ANGPT2",46
"AGPAT5",1
"DEFB1",12
"DEFA6",6
"DEFA4",6
"DEFA1",24
"PITPNM3",2
"KIAA0753",0
"TXNDC17",4
"MED31",8
"C17orf100",0
"SLC13A5",6
"XAF1",1
"FBXO39",0
"TEKT1",0
"AC027763.2",0
"ALOX12",25
"RNASEK",4
"AC040977.1",0
"RNASEK-C17orf49",0
"C17orf49",4
"BCL6B",2
"SLC16A13",0
"SLC16A11",0
"CLEC10A",2
"ASGR2",1
"ASGR1",4
"DLG4",45
"ACADVL",7
"DVL2",55
"PHF23",10
"GABARAP",26
"CTD-2545G14.7",0
"CTDNEP1",11
"RP1-4G17.5",0
"ELP5",4
"CLDN7",9
"SLC2A4",38
"YBX2",10
"EIF5A",15
"GPS2",53
"RP11-542C16.2",0
"NEURL4",0
"ACAP1",1
"KCTD11",2
"TMEM95",0
"TNK1",4
"TMEM256-PLSCR3",0
"C17orf61-PLSCR3",0
"TMEM256",0
"NLGN2",28
"SPEM1",1
"C17orf74",0
"TMEM102",24
"FGF11",1
"CHRNB1",7
"ZBTB4",2
"SLC35G6",0
"POLR2A",5
"TNFSF12",25
"TNFSF12-TNFSF13",0
"TNFSF13",37
"SENP3",7
"EIF4A1",0
"CD68",19
"MPDU1",2
"SOX15",33
"FXR2",12
"AC007421.1",0
"SHBG",1
"SAT2",0
"ATP1B2",23
"TP53",291
"WRAP53",24
"EFNB3",41
"DNAH2",0
"KDM6B",47
"TMEM88",8
"LSMD1",0
"CYB5D1",0
"CHD3",12
"KCNAB3",1
"RP11-1099M24.7",0
"TRAPPC1",0
"CNTROB",3
"GUCY2D",11
"ALOX15B",25
"ALOX12B",8
"AC129492.6",0
"ALOXE3",5
"HES7",10
"PER1",39
"RP11-599B13.6",0
"VAMP2",33
"TMEM107",17
"C17orf59",0
"AURKB",81
"CTC1",38
"PFAS",1
"LRRC30",0
"PTPRM",37
"GRM7",8
"LY86",9
"RREB1",40
"SSR1",0
"CAGE1",0
"RIOK1",5
"DSP",25
"SNRNP48",0
"BMP6",119
"TXNDC5",0
"BLOC1S5-TXNDC5",0
"HDHD1",0
"STS",3
"VCX",1
"PNPLA4",2
"VCX2",0
"TNFSF14",50
"C3",49
"GPR108",13
"TRIP10",0
"SH2D3A",12
"VAV1",71
"EMR1",0
"AC025278.1",0
"MBD3L5",7
"MBD3L4",7
"MBD3L2",7
"MBD3L3",7
"ZNF557",2
"INSR",159
"CTB-133G6.1",0
"CTD-2207O23.3",0
"ARHGEF18",10
"PEX11G",1
"C19orf45",0
"CTD-2207O23.12",0
"ZNF358",11
"MCOLN1",15
"CTD-2207O23.10",0
"PNPLA6",0
"CAMSAP3",26
"XAB2",1
"PET100",0
"CTD-3214H19.4",0
"PCP2",0
"STXBP2",30
"RETN",33
"C19orf59",0
"CTD-3214H19.16",0
"TRAPPC5",0
"FCER2",23
"CLEC4G",58
"CD209",34
"CLEC4M",6
"EVI5L",4
"RBFOX1",5
"DEFA5",10
"ZNF705G",2
"DEFB4B",0
"DEFB103B",5
"SPAG11B",0
"DEFB104B",13
"DEFB106B",0
"DEFB105B",0
"DEFB107B",0
"RP11-1118M6.1",0
"AC084121.16",0
"DEFB107A",0
"DEFB105A",0
"DEFB106A",0
"DEFB104A",13
"SPAG11A",0
"DEFB103A",5
"DEFB4A",4
"ZNF705B",2
"LRLE1",0
"ITIH5",0
"ITIH2",0
"HAO1",1
"TMX4",0
"PLCB1",108
"PLCB4",1
"LAMP5",1
"PAK7",0
"EMG1",2
"LPCAT3",9
"C1S",4
"C1R",4
"C1RL",4
"RBP5",0
"CLSTN3",12
"PEX5",21
"ADCY2",9
"TMEM261",0
"PTPRD",19
"BLOC1S5",11
"EEF1E1-BLOC1S5",0
"EEF1E1",11
"SLC35B3",0
"ACSM4",0
"CD163L1",1
"CD163",2
"APOBEC1",18
"GDF3",42
"DPPA3",7
"CLEC4C",2
"NANOGNB",0
"NANOG",18
"SLC2A14",6
"SLC2A3",9
"FOXJ2",19
"C3AR1",44
"NECAP1",0
"CLEC4A",12
"ZNF705A",2
"FAM90A1",0
"CLEC6A",33
"CLEC4D",22
"CLEC4E",25
"AICDA",44
"MFAP5",10
"RIMKLB",0
"TMEM114",0
"METTL22",7
"ABAT",35
"TMEM186",0
"PMM2",3
"CARHSP1",2
"USP7",39
"C16orf72",0
"RP11-297M9.1",0
"GRIN2A",30
"MIOS",24
"RPA3",6
"RPA3-AS1",0
"SLC25A35",0
"RANGRF",20
"ARHGEF15",19
"ODF4",0
"AC135178.1",0
"KRBA2",0
"RP11-849F2.7",0
"RPL26",46
"RNF222",0
"NDEL1",39
"MYH10",11
"CCDC42",1
"SPDYE4",0
"MFSD6L",0
"PIK3R6",54
"PIK3R5",18
"NTN1",61
"STX8",9
"C5orf49",0
"MTRR",4
"FASTKD3",1
"TAF3",11
"GATA3",297
"GLCCI1",0
"ICA1",0
"ID2",104
"KIDINS220",10
"MBOAT2",4
"ASAP2",1
"ITGB1BP1",98
"CPSF3",16
"IAH1",0
"ADAM17",146
"YWHAQ",4
"SEMA5A",93
"CERS4",0
"CD320",27
"NDUFA7",0
"RPS28",2
"KANK3",3
"ANGPTL4",17
"RAB11B",20
"MARCH2",0
"HNRNPM",0
"PRAM1",27
"ZNF414",0
"MYO1F",0
"ADAMTS10",0
"ACTL9",4
"OR2Z1",0
"ZNF558",2
"MBD3L1",7
"MUC16",1
"OR1M1",0
"OR7G2",0
"OR7G1",0
"OR7G3",0
"ZNF317",0
"OR7D2",0
"OR7D4",0
"OR7E24",0
"ZNF699",0
"CLDN23",3
"MFHAS1",56
"ERI1",2
"PPP1R3B",20
"RP11-10A14.4",0
"TNKS",40
"MSRA",3
"PRSS55",0
"RP1L1",8
"C8orf74",0
"SOX7",19
"PINX1",42
"XKR6",1
"AF131215.5",0
"MTMR9",13
"SLC35G5",0
"C8orf12",0
"FAM167A",0
"BLK",37
"GATA4",147
"C8orf49",0
"NEIL2",1
"ATF7IP2",13
"EMP2",60
"TEKT5",0
"NUBP1",5
"TVP23A",0
"VCX3B",0
"KAL1",0
"FAM9A",1
"FAM9B",1
"RAB12",13
"SOGA2",0
"RERE",16
"ENO1",38
"CA6",0
"SLC2A7",5
"SLC2A5",8
"GPR157",4
"H6PD",17
"SPSB1",2
"SLC25A33",16
"TMEM201",2
"PIK3CD",103
"C1orf200",0
"CLSTN1",12
"CTNNBIP1",68
"LZIC",5
"NMNAT1",11
"RBP7",0
"UBE4B",4
"STK33",12
"TRIM66",0
"RPL27A",0
"ST5",0
"TAS2R1",0
"A2ML1",3
"PHC1",8
"M6PR",0
"KLRG1",0
"A2M",32
"PZP",2
"KLRB1",5
"CLEC2D",1
"CLECL1",0
"CD69",2
"KLRF1",1
"CLEC2B",1
"KLRF2",8
"CLEC2A",1
"CLEC12A",0
"CLEC1B",1
"CLEC12B",18
"ZNF559",2
"ZNF177",2
"ZNF266",2
"FAM173B",0
"CCT5",25
"CMBL",1
"MARCH6",0
"ROPN1L",4
"RAD18",6
"SRGAP3",6
"THUMPD3",2
"SETD5",19
"LHFPL4",2
"MTMR14",3
"OFCC1",0
"WDR16",0
"USP43",1
"DHRS7C",6
"RP11-477N12.3",0
"GLP2R",6
"CPNE9",17
"BRPF1",6
"OGG1",21
"CAMK1",37
"TADA3",24
"ARPC4",2
"ARPC4-TTLL3",0
"TTLL3",0
"RPUSD3",0
"CIDEC",5
"JAGN1",27
"IL17RE",3
"IL17RC",12
"CRELD1",5
"PRRT3",0
"EMC3",0
"FANCD2",32
"FANCD2OS",0
"BRK1",23
"VHL",82
"IRAK2",32
"TATDN2",0
"RP11-438J1.1",0
"GHRL",115
"SEC13",17
"ATP2B2",11
"TYRP1",2
"LURAP1L",3
"MPDZ",3
"NFIB",71
"ZDHHC21",21
"CER1",48
"FREM1",7
"TTC39B",4
"FDFT1",0
"RP11-297N6.4",0
"CTSB",12
"DEFB136",0
"DEFB135",0
"DEFB134",0
"RP11-481A20.11",0
"RCVRN",3
"GAS7",0
"AC000003.2",0
"DEFB130",0
"ZNF705D",2
"USP17L2",29
"FAM86B1",5
"TAF1B",6
"GRHL1",13
"KLF11",10
"CYS1",0
"TFAP2A",63
"GCNT2",27
"GCNT6",0
"C6orf52",0
"PAK1IP1",2
"TMEM14C",5
"TMEM14B",14
"SYCP2L",0
"RP11-637O19.3",0
"MAK",10
"GCM2",5
"ELOVL2",0
"SMIM13",0
"ERVFRD-1",3
"NEDD9",66
"TMEM170B",7
"ADTRP",51
"HIVEP1",6
"EDN1",287
"ANKEF1",0
"SNAP25",34
"MKKS",63
"SLX4IP",0
"JAG1",112
"C20orf187",0
"AC104794.4",0
"RRM2",18
"C2orf48",0
"ZNF812",0
"ZNF846",2
"FBXL12",0
"UBL5",8
"PIN1",51
"OLFM2",7
"COL5A3",3
"RDH8",3
"C19orf66",0
"ANGPTL6",2
"PPAN-P2RY11",0
"PPAN",1
"P2RY11",6
"EIF3G",1
"DNMT1",38
"S1PR2",12
"MRPL4",0
"ICAM1",56
"ICAM4",0
"ICAM5",4
"ZGLP1",5
"FDX1L",0
"CTD-2369P2.10",0
"CTD-2369P2.12",0
"RAVER1",0
"ICAM3",1
"TYK2",84
"CDC37",18
"PDE4A",2
"KEAP1",28
"S1PR5",3
"ATG4D",2
"KRI1",1
"CDKN2D",59
"AP1M2",2
"SLC44A2",3
"AC011475.1",0
"ILF3",6
"CLEC9A",1
"CLEC1A",0
"SLC2A9",5
"WDR1",28
"ZNF518B",0
"CLNK",37
"CELF2",2
"RP11-1C1.5",0
"ANKRD33B",0
"DAP",27
"CTNND2",12
"DNAH5",7
"TRIO",17
"CLEC7A",108
"OLR1",5
"TMEM52B",0
"GABARAPL1",19
"KLRD1",35
"KLRC4-KLRK1",71
"KLRK1",71
"KLRC4",22
"NKG2-E",0
"KLRC3",26
"KLRC2",46
"KLRC1",39
"EIF2S3L",0
"MAGOHB",4
"STYK1",3
"YBX3",39
"TAS2R7",0
"TAS2R8",0
"TAS2R9",0
"PRR4",2
"TAS2R10",0
"PRH1",0
"TAS2R13",5
"PRH2",0
"TAS2R14",0
"TAS2R50",0
"TAS2R20",0
"TAS2R19",0
"TAS2R31",0
"AC018630.1",0
"TAS2R46",0
"TAS2R43",0
"TAS2R30",0
"TAS2R42",0
"PRB3",0
"PRB4",0
"PRB1",0
"PRB2",0
"MYH13",8
"MYH8",1
"MYH4",1
"MYH1",2
"MYH2",2
"MYH3",16
"SCO1",0
"ADPRM",0
"TMEM220",0
"PIRT",4
"BTBD3",5
"MID1",11
"HCCS",0
"ARHGAP6",25
"AMELX",26
"FAM86B2",5
"AMPD3",0
"MTRNR2L8",0
"RNF141",0
"LYVE1",9
"MRVI1",0
"CTR9",40
"EIF4G2",34
"ZBED5",0
"CIITA",23
"DEXI",0
"CLEC16A",20
"RMI2",7
"SOCS1",88
"TNP2",3
"PRM3",1
"PRM2",2
"PRM1",2
"CTD-3088G3.8",0
"LITAF",21
"SNN",0
"TXNDC11",0
"ZC3H7A",5
"RSL1D1",6
"GSPT1",8
"RP11-166B2.1",0
"TNFRSF17",8
"AC007216.2",0
"SNX29",0
"RP11-276H1.3",0
"CPPED1",0
"SHISA9",9
"QTRT1",2
"DNM2",25
"TMED1",0
"C19orf38",0
"CARM1",40
"YIPF2",0
"C19orf52",0
"SMARCA4",114
"LDLR",46
"SPC24",15
"KANK2",56
"NDUFA4",4
"PHF14",21
"THSD7A",2
"PEX14",13
"CASZ1",3
"C1orf127",0
"GALNT18",0
"CSNK2A3",0
"AC131935.1",0
"USP47",51
"DKK3",27
"MICAL2",16
"DOCK6",2
"C19orf80",0
"TSPAN16",0
"RAB3D",16
"TMEM205",0
"CCDC159",0
"DKFZP761J1410",0
"SWSAP1",2
"EPOR",9
"RGL3",3
"KCNF1",1
"C2orf50",0
"PQLC3",0
"ROCK2",126
"E2F6",10
"AC099344.1",0
"GREB1",0
"NTSR2",0
"LPIN1",24
"USP6NL",5
"ECHDC3",9
"PROSER2",0
"UPF2",8
"DHTKD1",4
"SEC61A2",0
"NUDT5",3
"CDC123",1
"CAMK1D",42
"PHACTR1",8
"HRH1",17
"ATG7",20
"VGLL4",28
"TAMM41",1
"ETV6",8
"BCL2L14",4
"LRP6",47
"MANSC1",0
"LOH12CR2",0
"LOH12CR1",0
"DUSP16",26
"SHISA6",18
"DNAH9",0
"ZNF18",0
"MAP2K4",74
"CCDC151",0
"PRKCSH",4
"ELAVL3",0
"CTC-398G3.6",0
"ZNF653",4
"ECSIT",18
"CNN1",9
"ELOF1",3
"ZNF627",0
"ACP5",36
"ZNF823",0
"ZNF441",0
"ZNF491",2
"ZNF440",2
"ZNF439",2
"ZNF69",2
"ZNF700",0
"ZNF763",0
"ZNF433",0
"CTD-2006C1.10",0
"ZNF878",0
"ZNF844",0
"ZNF788",0
"ZNF20",2
"ZNF625-ZNF20",0
"ZNF625",0
"ZNF136",0
"ZNF44",0
"LONRF1",0
"KIAA1456",0
"DLC1",54
"C8orf48",0
"SGCZ",9
"TIMP4",9
"PPARG",217
"TSEN2",1
"C3orf83",0
"MKRN2",12
"RAF1",72
"TMEM40",0
"CAND2",2
"RPL32",0
"IQSEC1",14
"NUP210",2
"ERCC4",32
"MKL2",0
"GNAL",11
"CHMP1B",10
"MPPE1",0
"IMPA2",4
"ANKRD62",0
"CIDEA",27
"TUBB6",4
"AFG3L2",12
"SLMO1",0
"SPIRE1",7
"AP005482.1",0
"PSMG2",15
"SPTLC3",0
"ISM1",4
"TASP1",2
"MICALCL",0
"PARVA",27
"TEAD1",17
"TBC1D7",19
"GFOD1",0
"AL583828.1",0
"SIRT5",16
"NOL7",0
"AL441883.1",0
"RANBP9",3
"MCUR1",0
"ZNF563",0
"ZNF442",0
"CTD-3105H18.14",0
"ZNF799",0
"CTD-3105H18.16",0
"ZNF443",0
"CTD-3105H18.18",0
"ZNF709",0
"ZNF564",0
"CTD-2192J16.20",0
"ZNF490",0
"ZNF791",0
"CTD-2192J16.22",0
"MAN2B1",5
"CTD-2192J16.24",0
"WDR83",8
"WDR83OS",0
"DHPS",29
"FBXW9",0
"TNPO2",5
"C19orf43",0
"ASNA1",0
"CEP76",0
"PTPN2",141
"SEH1L",21
"CEP192",3
"LDLRAD4",19
"MYOCD",120
"AC005358.1",0
"ARHGAP44",21
"ELAC2",1
"CCDC3",9
"OPTN",16
"MCM10",1
"UCMA",10
"PHYH",0
"AL138764.1",0
"SEPHS1",3
"BEND7",0
"PRPF18",1
"RP11-295P9.3",0
"FRMD4A",15
"HDAC11",10
"FAM210A",0
"RNMT",3
"MC5R",1
"MC2R",0
"ZNF519",0
"BEST2",0
"HOOK2",2
"JUNB",65
"PRDX2",77
"RNASEH2A",1
"RTBDN",1
"MAST1",5
"DNASE2",5
"KLF1",9
"GCDH",0
"SYCE2",2
"FARSA",1
"CALR",102
"RAD23A",15
"GADD45GIP1",0
"DAND5",28
"NFIX",1
"LYL1",7
"TRMT1",2
"NACC1",3
"STX10",2
"IER2",1
"CACNA1A",7
"CCDC130",0
"MRI1",0
"C19orf53",0
"AC008686.1",0
"ZSWIM4",0
"NANOS3",9
"C19orf57",0
"CC2D1A",9
"PODNL1",0
"DCAF15",3
"RFX1",0
"RLN3",0
"IL27RA",60
"PALM3",4
"hsa-mir-1199",0
"C19orf67",0
"SAMD1",8
"PRKACA",125
"ASF1B",3
"LPHN1",0
"CD97",0
"DDX39A",4
"PKN1",79
"PTGER1",4
"GIPC1",29
"DNAJB1",11
"TECR",0
"NDUFB7",0
"CLEC17A",1
"EMR3",0
"ZNF333",0
"AC090427.1",0
"EMR2",0
"OR7A5",0
"OR7C1",0
"OR7A10",0
"OR7A17",0
"OR7C2",0
"SLC1A6",1
"CCDC105",0
"CASP14",3
"OR1I1",0
"SYDE1",14
"ILVBL",0
"PRPS2",2
"TLR7",43
"TLR8",30
"TMSB4X",48
"FAM9C",1
"ATXN3L",0
"RAB28",5
"NKX3-2",31
"BOD1L1",3
"PRAMEF6",2
"PRAMEF22",0
"WI2-3308P17.2",0
"PRAMEF26",0
"PRAMEF3",0
"PRAMEF5",0
"PRAMEF8",0
"PRAMEF9",2
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF16",0
"PRAMEF21",0
"PRAMEF15",0
"PRAMEF14",0
"PRAMEF19",0
"PRAMEF17",0
"PRAMEF20",0
"LRRC38",2
"PDPN",51
"PRDM2",13
"ARNTL",0
"BTBD10",3
"PTH",88
"FAR1",0
"RRAS2",15
"NOTCH3",28
"EPHX3",0
"BRD4",38
"SNAPC3",4
"PSIP1",5
"CCDC171",0
"COPB1",0
"PSMA1",9
"PDE3B",17
"CYP2R1",5
"CALCB",0
"CALCA",33
"INSC",7
"ESF1",1
"NDUFAF5",0
"SEL1L2",0
"MACROD2",0
"FLRT3",34
"FBLN2",4
"WNT7A",122
"ETV1",12
"DGKB",8
"RNF182",0
"CD83",46
"RAB9A",14
"TRAPPC2",1
"OFD1",5
"GPM6B",22
"GEMIN8",0
"GLRA2",11
"FANCB",6
"MOSPD2",26
"FAM105A",0
"FAM105B",0
"ANKH",10
"KAZN",5
"TPRXL",0
"CHCHD4",0
"TMEM43",1
"RP11-434D12.1",0
"XPC",26
"LSM3",0
"SLC6A6",4
"CCDC174",0
"C3orf20",0
"FGD5",4
"NR2C2",5
"MRPS25",0
"ZFYVE20",0
"CAPN7",9
"SH3BP5",18
"METTL6",1
"EAF1",1
"COLQ",4
"HACL1",0
"BTD",0
"ANKRD28",0
"JARID2",54
"AKAP8",28
"FAM84A",0
"AC011897.1",0
"TUSC3",1
"MSR1",2
"ATF7IP",19
"PLBD1",0
"GUCY2C",4
"HIST4H4",0
"H2AFJ",0
"WBP11",1
"C12orf60",0
"SMCO3",0
"ASB9",2
"ASB11",2
"PIGA",0
"FIGF",0
"PIR",5
"BMX",14
"ACE2",30
"TMEM27",0
"CA5B",0
"ZRSR2",0
"AP1S2",2
"GRPR",3
"MAGEB17",0
"CTPS2",0
"S100G",0
"SYAP1",28
"TXLNG",6
"RBBP7",41
"REPS2",3
"AL050302.1",0
"POTED",0
"AL050303.1",0
"LIPI",0
"RBM11",4
"HSPA13",0
"ART4",0
"MGP",8
"ERP27",0
"ARHGDIB",15
"PDE6H",6
"RERG",15
"DTNBP1",44
"SOX6",28
"PMP22",6
"TEKT3",0
"CDRT4",0
"TVP23C-CDRT4",0
"TVP23C",0
"CDRT1",0
"RP11-385D13.1",0
"TRIM16",18
"ZNF286A",0
"TBC1D26",2
