"n_interactions","queryItem"
0,"OPLAH"
0,"OSGIN2"
0,"OTUD6B"
1,"PARP10"
0,"PDP1"
2,"PHF20L1"
0,"PI15"
2,"PKIA"
0,"PLEC"
14,"PRKDC"
1,"PSCA"
0,"PSKH2"
40,"PTK2"
5,"PUF60"
16,"PXDNL"
5,"RB1CC1"
0,"RBM12B"
1,"RHPN1"
6,"RIPK2"
0,"RMDN1"
4,"RUNX1T1"
0,"SAMD12"
4,"SCRIB"
0,"SCRT1"
4,"SHARPIN"
3,"SLA"
0,"SLC25A32"
0,"SLC26A7"
0,"SLC39A4"
0,"SLC52A2"
0,"SLC7A13"
0,"SLURP1"
22,"SNAI2"
0,"SNTB1"
0,"SNTG1"
0,"SPATC1"
0,"SPIDR"
0,"STMN2"
4,"TAF2"
4,"TG"
0,"THEM6"
0,"TIGD5"
1,"TMEM249"
0,"TMEM64"
0,"TMEM67"
0,"TMEM71"
1,"TNFRSF11B"
3,"TONSL"
3,"TOP1MT"
1,"TRAPPC9"
0,"TRPA1"
0,"TSNARE1"
2,"UBE2V2"
0,"VPS28"
4,"WWP1"
0,"ZC2HC1A"
0,"ZC3H3"
0,"ZFAT"
0,"ZFP41"
0,"ZHX1"
0,"ZNF623"
0,"ZNF696"
0,"ZNF704"
0,"ZNF707"
2,"ARHGEF9"
1,"PCDH19"
0,"SPIN4"
0,"KATNAL1"
6,"MTUS2"
0,"SLC7A1"
0,"UBL3"
0,"ACADSB"
0,"ARMS2"
6,"BUB3"
0,"C10orf120"
0,"C10orf88"
1,"CHST15"
0,"CPXM2"
0,"CUZD1"
0,"DMBT1"
0,"FAM24A"
0,"FAM24B"
0,"GPR26"
0,"HMX2"
0,"HMX3"
1,"HTRA1"
1,"IKZF5"
0,"PLEKHA1"
0,"PSTK"
1,"CACNG3"
0,"GSG1L"
25,"PRKCB"
0,"ABHD2"
3,"ACAN"
0,"ADPGK"
0,"AEN"
5,"ANP32A"
2,"ANPEP"
0,"AP3S2"
0,"CT62"
1,"FANCI"
0,"GLCE"
0,"HAPLN3"
2,"HMG20A"
20,"IQGAP1"
0,"ISG20"
7,"KIF23"
0,"LARP6"
0,"LRRC49"
0,"MESP1"
1,"MESP2"
2,"MFGE8"
1,"MYO9A"
0,"NOX5"
0,"PAQR5"
0,"PEX11A"
14,"PKM"
2,"PLIN1"
2,"POLG"
0,"RHCG"
0,"RLBP1"
1,"RPLP1"
1,"SENP8"
0,"SPESP1"
0,"THAP10"
0,"THSD4"
2,"TICRR"
11,"TLE3"
0,"UACA"
0,"WDR93"
0,"CES5A"
0,"TECRL"
2,"EPHA7"
0,"RNASET2"
0,"RTN4IP1"
0,"EPG5"
0,"HAUS1"
0,"OSBPL1A"
0,"PSTPIP2"
0,"SHROOM3"
0,"SLC4A4"
0,"TMEM144"
4,"AMPH"
0,"EPDR1"
0,"NME8"
1,"SFRP4"
0,"STARD3NL"
1,"GAS1"
0,"AK7"
3,"ATXN3"
3,"BDKRB1"
3,"BDKRB2"
12,"CALM1"
1,"CATSPERB"
0,"CCDC88C"
0,"CPSF2"
0,"EFCAB11"
1,"FBLN5"
0,"FUT8"
0,"GPR68"
2,"GSKIP"
0,"KCNK13"
1,"NDUFB1"
0,"NRDE2"
3,"PAPOLA"
0,"PPP4R4"
1,"PSMC1"
8,"RPS6KA5"
0,"RTL1"
0,"SERPINA10"
0,"TC2N"
1,"TDP1"
1,"TRIP11"
0,"TTC7B"
0,"FAT3"
3,"FZD4"
0,"PRSS23"
0,"AMIGO2"
0,"ENDOU"
13,"HDAC7"
4,"LGR5"
0,"PCED1B"
5,"RAPGEF3"
1,"RPAP3"
0,"SLC38A2"
0,"SLC38A4"
0,"SLC48A1"
0,"ALG12"
6,"BRD1"
0,"CRELD2"
0,"IL17REL"
0,"MLC1"
1,"MOV10L1"
0,"PANX2"
0,"PIM3"
0,"ZBED4"
10,"ARHGEF6"
12,"CD40LG"
7,"RBMX"
0,"ADCK2"
43,"BRAF"
0,"DENND2A"
0,"MRPS33"
0,"NDUFB2"
0,"AGMAT"
1,"ARHGEF19"
20,"CASP9"
0,"CELA2A"
0,"CELA2B"
0,"CLCNKA"
0,"CLCNKB"
0,"CTRC"
0,"DDI2"
0,"DNAJC16"
0,"EFHD2"
19,"EPHA2"
0,"FAM131C"
0,"FBLIM1"
0,"FHAD1"
0,"HSPB7"
1,"KAZN"
0,"LRRC38"
2,"PDPN"
0,"PLEKHM2"
0,"PRAMEF10"
0,"PRAMEF14"
0,"PRAMEF15"
0,"PRAMEF17"
0,"PRAMEF18"
0,"PRAMEF2"
0,"PRAMEF4"
0,"PRAMEF5"
0,"PRAMEF6"
0,"PRAMEF7"
0,"PRAMEF8"
1,"PRDM2"
0,"RSC1A1"
0,"SLC25A34"
2,"SPEN"
0,"TMEM51"
0,"TMEM82"
4,"ZBTB17"
1,"ARHGAP12"
7,"KIF5B"
7,"PARD3"
16,"ZEB1"
4,"RASA3"
0,"GLIS2"
1,"AKIRIN2"
1,"ANKRD6"
6,"ATG5"
4,"BACH2"
0,"C6orf163"
3,"CNR1"
0,"FHL5"
0,"FUT9"
0,"GABRR1"
0,"GABRR2"
0,"GJA10"
0,"GJB7"
0,"LYRM2"
18,"MAP3K7"
0,"MDN1"
2,"ORC3"
0,"PM20D2"
0,"PNRC1"
11,"PRDM1"
0,"RARS2"
0,"RNGTT"
5,"RRAGD"
0,"SLC35A1"
0,"SMIM8"
0,"SPACA1"
1,"SRSF12"
0,"UBE2J1"
0,"UFL1"
11,"CUL3"
4,"IGFBP2"
3,"IGFBP5"
52,"IRS1"
0,"RHBDD1"
3,"RPL37A"
0,"SMARCAL1"
0,"SP140"
0,"SP140L"
0,"TMEM169"
0,"TNP1"
5,"XRCC5"
1,"PTPRG"
0,"ASCC3"
1,"GOPC"
0,"GRIK2"
0,"MRAP2"
5,"ROS1"
0,"SLC35F1"
3,"VGLL2"
0,"ADAM18"
0,"ADAM32"
0,"ADAM9"
0,"DUSP26"
0,"FUT10"
0,"HTRA4"
5,"IDO1"
2,"IDO2"
0,"MAK16"
8,"NRG1"
0,"RNF122"
0,"TM2D2"
2,"TTI2"
3,"UNC5D"
0,"ZMAT4"
0,"ABCC9"
0,"ABCD2"
0,"C12orf40"
1,"C2CD5"
0,"CMAS"
0,"GOLT1B"
2,"GYS2"
2,"IAPP"
0,"KCNJ8"
1,"PDE3A"
0,"PYROXD1"
0,"RECQL"
0,"SLC2A13"
0,"SLCO1A2"
0,"SLCO1B1"
0,"SLCO1B7"
0,"SLCO1C1"
0,"ST8SIA1"
2,"BRMS1L"
0,"FAM177A1"
1,"INSM2"
2,"MBIP"
26,"NFKBIA"
1,"PPP2R3C"
1,"PSMA6"
0,"RALGAPA1"
1,"SRP54"
0,"GALNT4"
4,"KSR2"
4,"PEBP1"
0,"POC1B"
0,"POC1B-GALNT4"
1,"RFC5"
0,"TAOK3"
0,"VSIG10"
0,"WSB2"
0,"TPTE"
3,"ACTR5"
0,"PPP1R16B"
0,"SLC32A1"
0,"TOX2"
1,"YTHDF1"
9,"BCL11B"
5,"CCNK"
2,"SETD3"
0,"ANKRD7"
1,"ARPC1A"
2,"ARPC1B"
1,"ASZ1"
3,"BUD31"
4,"CAV2"
2,"CFTR"
0,"CPSF4"
0,"CTTNBP2"
0,"FAM200A"
2,"FOXP2"
0,"GPR85"
1,"IFRD1"
0,"IMMP2L"
0,"LRRN3"
0,"LSMEM1"
0,"MDFIC"
1,"PDAP1"
0,"PPP1R3A"
0,"PTCD1"
0,"ST7"
0,"TES"
1,"TFEC"
0,"TMEM168"
5,"WNT2"
0,"ZKSCAN5"
0,"ZNF394"
0,"ZNF655"
0,"ZNF789"
0,"DDHD1"
1,"FERMT2"
2,"NIN"
7,"BAIAP2"
0,"EPB41L4A"
0,"NREP"
0,"TMEM232"
0,"ADAM12"
0,"C10orf90"
11,"CTBP2"
0,"FANK1"
1,"LRRC27"
1,"PWWP2B"
0,"STK32C"
0,"ZRANB1"
1,"ADRM1"
0,"APCDD1L"
1,"ARFGAP1"
12,"AURKA"
2,"BCAS1"
0,"BHLHE23"
2,"BIRC7"
0,"CBLN4"
0,"CDH26"
4,"CDH4"
1,"CHRNA4"
0,"COL20A1"
0,"COL9A3"
0,"CSTF1"
1,"CTSZ"
1,"CYP24A1"
3,"DIDO1"
1,"DOK5"
4,"EDN3"
0,"EEF1A2"
0,"FAM210B"
0,"GATA5"
0,"GID8"
16,"GNAS"
0,"HRH3"
0,"KCNG1"
0,"KCNQ2"
0,"LAMA5"
1,"LSM14B"
0,"MC3R"
4,"MRGBP"
4,"NELFCD"
0,"NKAIN4"
4,"NTSR1"
0,"OGFR"
0,"OSBPL2"
0,"PFDN4"
0,"PHACTR3"
5,"PSMA7"
0,"RBBP8NL"
2,"RPS21"
0,"SLC17A9"
0,"SLCO4A1"
3,"SS18L1"
1,"STX16"
0,"SYCP2"
7,"TAF4"
0,"TCFL5"
0,"TSHZ2"
0,"TUBB1"
1,"VAPB"
4,"ZNF217"
0,"ZNF831"
0,"CASK"
1,"AKTIP"
1,"CHD9"
12,"RBL2"
13,"KAT6A"
0,"AK1"
0,"ANGPTL2"
11,"CDK9"
0,"DPM2"
8,"ENG"
0,"FAM102A"
0,"FPGS"
0,"GAPVD1"
0,"GARNL3"
0,"GOLGA1"
14,"HSPA5"
1,"LMX1B"
0,"LRSAM1"
11,"MAPKAP1"
0,"MVB12B"
1,"PBX3"
7,"PIP5KL1"
1,"PPP6C"
0,"PTRH1"
0,"RABEPK"
0,"RALGPS1"
2,"RPL12"
0,"SCAI"
2,"SH2D3C"
0,"SLC2A8"
0,"ST6GALNAC4"
0,"ST6GALNAC6"
0,"STXBP1"
0,"TOR2A"
0,"TTC16"
0,"ZBTB34"
0,"ZBTB43"
0,"ZNF79"
0,"ACSS3"
1,"LIN7A"
8,"MYF5"
6,"MYF6"
0,"XKR9"
0,"ANKRD13D"
1,"CLCF1"
1,"PDE2A"
1,"POLD4"
0,"SSH3"
0,"ACTC1"
0,"ANKRD63"
0,"AVEN"
1,"BAHD1"
2,"BMF"
11,"BUB1B"
0,"C15orf62"
1,"CHAC1"
2,"CHRM5"
0,"CHST14"
0,"DISP2"
7,"DLL4"
0,"DNAJC17"
6,"EIF2AK4"
0,"EXD1"
0,"GCHFR"
4,"INO80"
0,"IVD"
1,"KNSTRN"
7,"PAK6"
10,"PLCB2"
0,"PPP1R14D"
14,"RAD51"
1,"RHOV"
0,"RMDN3"
0,"RPUSD2"
0,"RYR3"
1,"SPINT1"
1,"SRP14"
0,"VPS18"
0,"ZFYVE19"
13,"SMARCA5"
0,"TMEM106B"
0,"VWDE"
0,"FAM120A"
0,"FAM120AOS"
0,"PHF2"
0,"WNK2"
0,"AMER2"
0,"ATP8A2"
17,"BRCA2"
0,"C1QTNF9B"
24,"FLT1"
0,"FRY"
0,"MIPEP"
1,"MTMR6"
0,"N4BP2L1"
0,"N4BP2L2"
2,"PABPC3"
1,"PDS5B"
1,"POMP"
0,"RASL11A"
3,"RPL21"
0,"SLC46A3"
3,"SPATA13"
1,"TNFRSF19"
0,"ZAR1L"
0,"BRIP1"
0,"INTS2"
3,"MED13"
0,"NACA2"
0,"C8orf74"
1,"PINX1"
0,"PRSS55"
0,"RP1L1"
3,"SOX7"
6,"AMOTL1"
0,"ANKRD49"
0,"ANO9"
0,"B4GALNT4"
0,"BET1L"
0,"CCDC81"
0,"CCDC83"
2,"CDHR5"
1,"CHORDC1"
1,"CTSC"
2,"CWC15"
0,"DEAF1"
1,"DRD4"
12,"EED"
0,"ENDOD1"
0,"EPS8L2"
0,"FAM76B"
4,"FUT4"
4,"GPR83"
4,"GRM5"
62,"HRAS"
1,"IFITM1"
0,"IFITM2"
0,"IFITM3"
0,"IFITM5"
6,"IRF7"
1,"KDM4D"
0,"KDM4E"
0,"LRRC56"
0,"ME3"
3,"MTNR1B"
1,"NAALAD2"
0,"NLRP6"
3,"NOX4"
0,"ODF3"
0,"PANX1"
1,"PHRF1"
1,"PICALM"
3,"PIWIL4"
1,"PKP3"
1,"PSMD13"
0,"PTDSS2"
0,"RAB38"
0,"RASSF7"
2,"RIC8A"
1,"RNH1"
0,"SCGB1C1"
2,"SCT"
2,"SESN3"
1,"SIGIRR"
8,"SIRT3"
1,"SLC36A4"
0,"SMCO4"
3,"TALDO1"
0,"TMEM135"
0,"TMEM80"
0,"TRIM49"
0,"TRIM49C"
0,"TRIM49D1"
0,"TRIM64B"
4,"TYR"
1,"ADHFE1"
1,"ARFGEF1"
2,"ARHGAP39"
0,"ARMC1"
0,"ASPH"
1,"ATP6V1H"
0,"BHLHE22"
0,"C8orf33"
0,"C8orf82"
0,"CA8"
0,"CCDC25"
1,"CHCHD7"
4,"CHD7"
0,"CHRNA2"
1,"CLU"
0,"CLVS1"
0,"COMMD5"
10,"COPS5"
0,"CPA6"
3,"CRH"
0,"CSPP1"
0,"CYHR1"
3,"CYP7A1"
1,"CYP7B1"
0,"DCTN6"
0,"DNAJC5B"
2,"DUSP4"
2,"EPHX2"
2,"ESCO2"
5,"EYA1"
3,"FOXH1"
2,"GPT"
3,"GSR"
1,"GTF2E2"
0,"KIFC2"
0,"LACTB2"
0,"LEPROTL1"
1,"LRRC14"
0,"LRRC24"
46,"LYN"
0,"LYPLA1"
0,"MBOAT4"
0,"MCMDC2"
0,"MFSD3"
3,"MOS"
0,"MRPL15"
0,"MTFR1"
0,"MYBL1"
9,"NCOA2"
0,"NPBWR1"
0,"NSMAF"
6,"PBK"
0,"PCMTD1"
1,"PDE7A"
0,"PENK"
3,"PLAG1"
1,"PPP1R16A"
0,"PPP1R42"
14,"PPP2CB"
6,"PRDM14"
3,"PREX2"
12,"PTK2B"
0,"PURG"
1,"RAB2A"
1,"RBPMS"
2,"RECQL4"
1,"RGS20"
0,"RP1"
3,"RPL8"
6,"RPS20"
0,"RRS1"
0,"SCARA3"
2,"SDCBP"
0,"SDR16C5"
0,"SLCO5A1"
0,"SMIM18"
7,"SOX17"
0,"ST18"
0,"SULF1"
7,"TCEA1"
0,"TEX15"
0,"TGS1"
0,"TMEM68"
0,"TOX"
0,"TRAM1"
1,"TRIM55"
0,"UBXN2B"
0,"VCPIP1"
3,"WRN"
0,"XKR4"
0,"ZNF16"
0,"ZNF250"
0,"ZNF251"
0,"ZNF34"
0,"ZNF517"
0,"ZNF7"
0,"SNURF"
9,"UBE3A"
34,"CEBPA"
3,"CEBPG"
0,"CHST8"
3,"GPI"
0,"KCTD15"
3,"LSM14A"
0,"PDCD2L"
0,"PEPD"
0,"SCGB2B2"
1,"UBA2"
0,"WTIP"
0,"ZNF302"
2,"CGN"
2,"POGZ"
1,"PSMB4"
1,"RFX5"
0,"SELENBP1"
0,"TUFT1"
0,"CWH43"
1,"FRYL"
0,"OCIAD1"
0,"OCIAD2"
0,"ZAR1"
0,"C1orf109"
0,"C1orf122"
8,"CDCA8"
0,"COL9A2"
0,"DNALI1"
0,"EPHA10"
0,"EXO5"
0,"FHL3"
1,"GNL2"
3,"INPP5B"
0,"MANEAL"
5,"MEAF6"
0,"MTF1"
1,"NFYC"
2,"POU3F1"
0,"RIMS3"
5,"RSPO1"
3,"SF3A3"
0,"SMAP2"
3,"SNIP1"
0,"TMCO2"
0,"YRDC"
0,"ZC3H12A"
0,"ZFP69"
0,"ZFP69B"
0,"ZMPSTE24"
0,"ZNF684"
1,"ADRB1"
0,"AFAP1L2"
0,"CCNJ"
3,"ENTPD1"
0,"SORCS1"
1,"TDRD1"
0,"VWA2"
0,"ZNF239"
0,"ZNF32"
0,"ZNF485"
0,"ERMP1"
2,"MLANA"
0,"ADAMTSL1"
0,"ANXA11"
1,"DLG5"
0,"DYDC1"
0,"DYDC2"
1,"EIF5AL1"
2,"KCNMA1"
1,"MAT1A"
0,"PLAC9"
1,"POLR3A"
6,"PPIF"
3,"RPS24"
1,"SFTPA1"
0,"SFTPA2"
1,"SFTPD"
0,"SH2D4B"
0,"TMEM254"
0,"TSPAN14"
0,"ZCCHC24"
2,"ZMIZ1"
0,"ZNF136"
0,"ZNF20"
0,"ZNF433"
0,"ZNF439"
0,"ZNF69"
0,"ZNF700"
1,"ZNF763"
0,"ZNF844"
0,"ZNF878"
5,"NRG3"
2,"STARD8"
0,"YIPF6"
2,"ARVCF"
0,"C22orf39"
9,"CDC45"
2,"CLDN5"
2,"CLTCL1"
1,"COMT"
0,"DGCR2"
0,"DGCR6"
0,"DGCR6L"
4,"DGCR8"
2,"GNB1L"
1,"GP1BB"
2,"HIRA"
0,"KLHL22"
5,"MED15"
1,"MRPL40"
0,"PRODH"
3,"RANBP1"
0,"RIMBP3"
0,"RTN4R"
0,"SCARF2"
0,"SERPIND1"
0,"SLC25A1"
0,"TANGO2"
1,"TBX1"
0,"TRMT2A"
0,"TSSK2"
0,"TXNRD2"
2,"USP18"
0,"ZDHHC8"
0,"ZNF74"
1,"ADAMTS12"
0,"AGXT2"
0,"AMACR"
0,"ANXA2R"
0,"BRIX1"
0,"C1QTNF3"
2,"C9"
0,"CAPSL"
0,"CCDC152"
0,"CCL28"
2,"CDH9"
2,"DAB2"
0,"DNAJC21"
0,"EGFLAM"
30,"FGF10"
14,"GDNF"
11,"GHR"
0,"HMGCS1"
19,"IL7R"
12,"LIFR"
0,"LMBRD2"
0,"MROH2B"
1,"MRPL36"
1,"NADK2"
0,"NDUFS6"
2,"NIPBL"
1,"NNT"
4,"NUP155"
6,"OSMR"
8,"PRLR"
4,"PTGER4"
0,"RAD1"
0,"RAI14"
0,"RANBP3L"
19,"RICTOR"
0,"RXFP3"
13,"SKP2"
0,"SLC1A3"
0,"SLC30A5"
0,"SPEF2"
1,"SUB1"
0,"TTC23L"
0,"TTC33"
0,"UGT3A1"
0,"UGT3A2"
0,"WDR70"
1,"ZNF131"
1,"ADAP1"
0,"AMZ1"
0,"BRAT1"
0,"C7orf50"
11,"CARD11"
1,"CHST12"
0,"COX19"
0,"CYP2W1"
6,"EIF3B"
0,"ELFN1"
1,"FAM20C"
0,"GET4"
10,"GNA12"
6,"GPER1"
0,"GPR146"
0,"HIBADH"
0,"IQCE"
2,"LFNG"
2,"MAD1L1"
3,"MAFK"
0,"MICALL2"
0,"NUDT1"
24,"PDGFA"
2,"PRKAR1B"
0,"PSMG3"
0,"RPA3"
0,"SNX8"
0,"SUN1"
0,"TMEM184A"
0,"TTYH3"
0,"UNCX"
0,"ZFAND2A"
1,"PPP1R13B"
0,"RD3L"
0,"CIB3"
0,"CILP2"
0,"CYP4F12"
0,"CYP4F3"
0,"FAM32A"
0,"HSH2D"
2,"NDUFA13"
1,"TSSK6"
0,"YJEFN3"
0,"ATP4A"
0,"COX6B1"
0,"DMKN"
1,"ETV2"
0,"FFAR2"
0,"FFAR3"
0,"GAPDHS"
0,"GPR42"
0,"HAUS5"
6,"KMT2B"
0,"KRTDAP"
2,"RBM42"
0,"SBSN"
0,"TMEM147"
0,"UPK1A"
1,"ZBTB32"
0,"BPY2"
0,"BPY2B"
0,"BPY2C"
3,"CDY1"
3,"CDY1B"
3,"CDY2A"
3,"CDY2B"
1,"DAZ1"
0,"DAZ2"
0,"DAZ3"
1,"EIF1AY"
0,"HSFY1"
0,"HSFY2"
3,"IL9R"
3,"KDM5D"
0,"PRY"
0,"PRY2"
0,"RBMY1A1"
0,"RBMY1B"
0,"RBMY1D"
0,"RBMY1E"
0,"RBMY1F"
0,"RBMY1J"
1,"RPS4Y2"
0,"SPRY3"
0,"VAMP7"
1,"CITED4"
1,"CTPS1"
0,"EDN2"
1,"HIVEP3"
0,"KCNQ4"
2,"SCMH1"
0,"SLFNL1"
0,"DLGAP1"
2,"TGIF1"
0,"COMMD7"
14,"DNMT3B"
1,"NDUFAF5"
1,"TASP1"
0,"SBK1"
0,"CHRDL2"
0,"KCNE3"
0,"LIPT2"
0,"NEU3"
0,"OR2AT4"
1,"P4HA3"
0,"PGM2L1"
1,"POLD3"
0,"RNF169"
0,"SPCS2"
0,"XRRA1"
0,"BAZ1A"
4,"CFL2"
0,"EAPP"
5,"EGLN3"
1,"NPAS3"
0,"SNX6"
0,"SPTSSA"
0,"AEBP1"
0,"BLVRA"
6,"CAMK2B"
2,"CCM2"
1,"COA1"
11,"CREB5"
0,"DBNL"
0,"DDX56"
5,"GCK"
14,"GRB10"
0,"MRPS24"
0,"MYL7"
0,"MYO1G"
0,"NPC1L1"
0,"NUDCD3"
2,"OGDH"
0,"PGAM2"
1,"POLD2"
1,"POLM"
3,"PPIA"
0,"PURB"
0,"SPDYE1"
0,"TMED4"
0,"UBE2D4"
0,"URGCP"
0,"YKT6"
0,"ZMIZ2"
0,"ANKRD45"
1,"CENPL"
0,"DARS2"
2,"GPR52"
0,"KLHL20"
0,"PRDX6"
0,"RABGAP1L"
0,"RC3H1"
0,"SERPINC1"
0,"SLC9C2"
6,"TNFSF4"
0,"ZBTB37"
0,"THOC1"
3,"USP14"
0,"ARMC2"
1,"CDK19"
4,"SESN1"
0,"ACP6"
8,"BCL9"
1,"CHD1L"
0,"FMO5"
1,"GJA5"
0,"GJA8"
0,"GPR89B"
0,"NBPF14"
0,"PPIAL4A"
0,"PPIAL4D"
10,"PRKAB2"
2,"LAS1L"
7,"MSN"
1,"VSIG4"
0,"ZC3H12B"
2,"BRMS1"
0,"DPP3"
1,"MRPL11"
4,"NPAS4"
1,"PELI3"
10,"RIN1"
0,"SLC29A2"
3,"ADAM17"
0,"ASAP2"
0,"ATP6V1C2"
0,"C2orf50"
0,"CPSF3"
0,"CYS1"
5,"E2F6"
4,"GREB1"
0,"GRHL1"
0,"HPCAL1"
0,"IAH1"
4,"ID2"
0,"ITGB1BP1"
0,"KCNF1"
2,"KIDINS220"
0,"KLF11"
0,"MBOAT2"
1,"NOL10"
2,"ODC1"
2,"PDIA6"
6,"ROCK2"
1,"TAF1B"
1,"TRIB2"
19,"YWHAQ"
0,"AOAH"
0,"ARHGEF35"
2,"ARHGEF5"
3,"CASP2"
0,"CCDC126"
0,"CLCN1"
0,"CTAGE15"
0,"CTAGE4"
0,"CTAGE6"
0,"CTAGE8"
6,"ELMO1"
2,"EPHA1"
0,"FAM126A"
2,"FAM131B"
0,"FAM221A"
2,"GPNMB"
0,"GSTK1"
5,"IGF2BP3"
63,"IL6"
0,"KLHL7"
0,"MALSU1"
0,"OR2A1"
0,"OR2A12"
0,"OR2A14"
0,"OR2A2"
0,"OR2A25"
0,"OR2A42"
0,"OR2A5"
0,"OR2A7"
0,"OR2F1"
0,"OR2F2"
0,"OR6B1"
0,"OR6V1"
0,"OR9A2"
2,"PIP"
6,"RAPGEF5"
0,"STEAP1B"
0,"STK31"
0,"TAS2R39"
0,"TAS2R40"
0,"TAS2R60"
0,"TMEM139"
0,"TOMM7"
0,"TPK1"
2,"TRA2A"
1,"ZYX"
3,"AHI1"
0,"ALDH8A1"
0,"FAM184A"
1,"HBS1L"
0,"MAN1A1"
17,"MYB"
0,"PDE7B"
9,"SGK1"
0,"SLC2A12"
3,"TBPL1"
2,"TCF21"
3,"MUC20"
4,"MUC4"
0,"DTD2"
0,"HEATR5A"
0,"NUBPL"
4,"AKAP9"
2,"CDK14"
1,"CYP51A1"
4,"FZD1"
0,"ZNF100"
0,"ZNF208"
0,"ZNF257"
0,"ZNF429"
0,"ZNF43"
0,"ZNF431"
0,"ZNF492"
0,"ZNF493"
0,"ZNF675"
0,"ZNF676"
0,"ZNF681"
0,"ZNF708"
0,"ZNF729"
0,"ZNF738"
0,"ZNF98"
1,"COBL"
0,"ALG10"
0,"AMN1"
3,"DDX11"
0,"DENND5B"
0,"DNM1L"
1,"FGD4"
2,"PKP2"
0,"SYT10"
0,"TSPAN11"
0,"YARS2"
38,"SOX2"
0,"ANKRD55"
1,"DDX4"
2,"IL31RA"
11,"IL6ST"
4,"SLC38A9"
0,"DNAJB13"
1,"UCP2"
0,"ATP11B"
0,"B3GNT5"
3,"DCUN1D1"
0,"LAMP3"
0,"MCCC1"
0,"MCF2L2"
0,"C6orf141"
1,"CENPQ"
0,"CRISP1"
0,"CRISP2"
0,"CRISP3"
0,"DEFB110"
0,"DEFB112"
0,"DEFB113"
0,"DEFB114"
0,"GLYATL3"
0,"PGK2"
2,"RHAG"
1,"TFAP2B"
0,"TFAP2D"
0,"ZNF318"
0,"NPEPL1"
0,"PTPRT"
0,"RAB22A"
0,"RPRD1B"
5,"TTI1"
0,"CPLX1"
16,"CTBP1"
1,"DGKQ"
4,"FGFRL1"
1,"GAK"
1,"IDUA"
0,"MAEA"
5,"PCGF3"
0,"RNF212"
0,"SLC26A1"
0,"SPON2"
0,"TMEM175"
1,"UVSSA"
0,"FNTA"
0,"HGSNAT"
0,"HOOK3"
0,"POMK"
0,"CADPS2"
0,"RNF133"
0,"RNF148"
1,"ATXN7L3B"
0,"ABHD15"
0,"CLDN12"
1,"GTPBP10"
0,"STEAP1"
