"","dataset","sample.id.tumor","sample.id.normal","chrom","seg","num.mark","nhet","cnlr.median","mafR","segclust","cnlr.median.clust","mafR.clust","start","end","cf.em","tcn.em","lcn.em","svtype","svlen","copy.number.simple","copy.number.category","length","gene_name","Is.TF.","DBD","Group_kinase","Family_kinase","median.CRISPR","mean.CRISPR","sd.CRISPR","min.CRISPR","Tier.COSMIC","Hallmark.COSMIC","Role.in.Cancer.COSMIC","Mutation.Types.COSMIC","Translocation.Partner.COSMIC","Is.Oncogene.oncoKB","Is.Tumor.Suppressor.Gene.oncoKB","OncoKB.Annotated.oncoKB","pubmed_invasion","pubmed_cancer","pubmed_growth","pubmed_migration","pubmed_prolifiration","PPI_count"
"11","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"CEP72","No_data","No_data","No_data","No_data",-0.084,-0.089,0.133,-0.873,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,17,0,0,2,0
"12","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"TPPP","No_data","No_data","No_data","No_data",-0.012,-0.023,0.171,-1.085,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,15,3,1,6,0
"13","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"AC026740.1","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"14","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"ZDHHC11","No_data","No_data","No_data","No_data",-0.216,-0.232,0.178,-1.301,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,4,2,0,0,0
"15","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"ZDHHC11B","No_data","No_data","No_data","No_data",0.009,-0.013,0.245,-0.647,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0
"16","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"BRD9","No_data","No_data","No_data","No_data",0.032,0.023,0.224,-0.958,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,47,7,2,9,5
"17","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"TRIP13","No_data","No_data","No_data","No_data",-0.303,-0.336,0.209,-1.51,"No_data","No_data","No_data","No_data","No_data","Yes","Yes","Yes",4,79,8,6,30,3
"18","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"RP11-661C8.3","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"19","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"NKD2","No_data","No_data","No_data","No_data",-0.042,-0.047,0.118,-1.322,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",2,32,3,3,13,0
"20","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SLC12A7","No_data","No_data","No_data","No_data",-0.008,-0.018,0.157,-1.207,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,7,0,0,0,0
"21","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SLC6A19","No_data","No_data","No_data","No_data",0.058,0.052,0.134,-0.942,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,5,4,0,3,0
"22","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SLC6A18","No_data","No_data","No_data","No_data",0.059,0.056,0.108,-0.69,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"23","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"TERT","No_data","No_data","No_data","No_data",0.005,-0.007,0.148,-0.725,"1","Yes","oncogene, TSG","Promoter Mis","","Yes","No","Yes",11,2605,216,0,386,16
"24","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"CLPTM1L","No_data","No_data","No_data","No_data",0.111,0.111,0.106,-0.593,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,128,2,1,3,2
"25","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SLC6A3","No_data","No_data","No_data","No_data",0.146,0.144,0.114,-0.863,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,22,0,1,3,0
"26","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"PLEKHG4B","No_data","No_data","No_data","No_data",0.139,0.133,0.138,-0.688,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0
"27","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"LRRC14B","No_data","No_data","No_data","No_data",0.089,0.086,0.138,-0.572,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"28","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"CCDC127","No_data","No_data","No_data","No_data",0.098,0.098,0.104,-0.333,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"29","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"SDHA","No_data","No_data","No_data","No_data",-0.159,-0.192,0.315,-1.54,"1","Yes","TSG","Mis, N","","No","Yes","Yes",1,118,10,2,16,3
"30","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"PDCD6","No_data","No_data","No_data","No_data",-0.225,-0.244,0.197,-1.267,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,32,5,6,8,0
"31","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"AHRR","Yes","bHLH","No_data","No_data",-0.067,-0.075,0.129,-1.058,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,84,8,1,9,1
"32","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"C5orf55","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"33","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"EXOC3","No_data","No_data","No_data","No_data",-0.629,-0.642,0.187,-1.465,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,3,1,0
"34","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"CTD-2228K2.5","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"35","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"SLC9A3","No_data","No_data","No_data","No_data",-0.066,-0.07,0.138,-0.668,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,12,0,0,3,0
"36","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"CEP72","No_data","No_data","No_data","No_data",-0.084,-0.089,0.133,-0.873,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,17,0,0,2,0
"37","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"TPPP","No_data","No_data","No_data","No_data",-0.012,-0.023,0.171,-1.085,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,15,3,1,6,0
"38","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"AC026740.1","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"39","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"ZDHHC11","No_data","No_data","No_data","No_data",-0.216,-0.232,0.178,-1.301,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,4,2,0,0,0
"40","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"ZDHHC11B","No_data","No_data","No_data","No_data",0.009,-0.013,0.245,-0.647,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0
"41","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"BRD9","No_data","No_data","No_data","No_data",0.032,0.023,0.224,-0.958,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,47,7,2,9,5
"42","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"TRIP13","No_data","No_data","No_data","No_data",-0.303,-0.336,0.209,-1.51,"No_data","No_data","No_data","No_data","No_data","Yes","Yes","Yes",4,79,8,6,30,3
"43","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"RP11-661C8.3","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"44","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"NKD2","No_data","No_data","No_data","No_data",-0.042,-0.047,0.118,-1.322,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",2,32,3,3,13,0
"45","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"SLC12A7","No_data","No_data","No_data","No_data",-0.008,-0.018,0.157,-1.207,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,7,0,0,0,0
"46","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"SLC6A19","No_data","No_data","No_data","No_data",0.058,0.052,0.134,-0.942,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,5,4,0,3,0
"47","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"SLC6A18","No_data","No_data","No_data","No_data",0.059,0.056,0.108,-0.69,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"48","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"TERT","No_data","No_data","No_data","No_data",0.005,-0.007,0.148,-0.725,"1","Yes","oncogene, TSG","Promoter Mis","","Yes","No","Yes",11,2605,216,0,386,16
"49","METAPRISM","MP-0601-D01","MP-0601-D10","5",13,531,52,1.922,2.139,21,1.922,2.139,18478,1364178,0.336,22,3,"DUP",1345701,"Amplification","HL_gain",1345700,"CLPTM1L","No_data","No_data","No_data","No_data",0.111,0.111,0.106,-0.593,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,128,2,1,3,2
"50","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"IQSEC3","No_data","No_data","No_data","No_data",-0.067,-0.068,0.133,-0.653,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"51","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"SLC6A12","No_data","No_data","No_data","No_data",-0.031,-0.033,0.122,-0.653,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0
"52","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"SLC6A13","No_data","No_data","No_data","No_data",0.06,0.06,0.115,-0.448,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"53","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"KDM5A","No_data","No_data","No_data","No_data",-0.175,-0.178,0.19,-0.878,"1","","oncogene, fusion","T","NUP98","Yes","No","Yes",0,88,6,0,20,10
"54","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"CCDC77","No_data","No_data","No_data","No_data",-0.004,-0.025,0.15,-0.629,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"55","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"B4GALNT3","No_data","No_data","No_data","No_data",-0.101,-0.106,0.116,-0.603,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,7,0,1,1,0
"56","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"NINJ2","No_data","No_data","No_data","No_data",-0.055,-0.06,0.142,-0.789,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,4,2,1,1,0
"57","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"WNK1","No_data","No_data","Other","WNK",-0.902,-0.9,0.455,-2.945,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",2,50,5,20,20,0
"58","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"RAD52","No_data","No_data","No_data","No_data",-0.143,-0.141,0.127,-0.685,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,248,20,3,31,6
"59","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"ERC1","No_data","No_data","No_data","No_data",-0.061,-0.066,0.114,-0.851,"No_data","No_data","No_data","No_data","No_data","Yes","No","Yes",4,15,0,5,2,1
"60","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"WNT5B","No_data","No_data","No_data","No_data",-0.024,-0.025,0.117,-0.585,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",3,63,6,16,32,3
"61","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"FBXL14","No_data","No_data","No_data","No_data",0.044,0.039,0.166,-0.909,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,10,0,1,0,0
"62","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"ADIPOR2","No_data","No_data","No_data","No_data",-0.009,-0.023,0.141,-1.566,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,91,10,6,40,0
"63","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"CACNA2D4","No_data","No_data","No_data","No_data",0.029,0.031,0.101,-0.438,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,5,1,0,1,1
"64","MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"LRTM2","No_data","No_data","No_data","No_data",0.104,0.104,0.102,-0.38,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"65","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"COLEC12","No_data","No_data","No_data","No_data",0.131,0.137,0.123,-0.402,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,9,0,1,2,0
"66","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"CETN1","No_data","No_data","No_data","No_data",0.206,0.206,0.09,-0.291,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,5,0,0,0,0
"67","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"CLUL1","No_data","No_data","No_data","No_data",0.083,0.081,0.096,-0.536,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"68","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"C18orf56","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"69","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"TYMS","No_data","No_data","No_data","No_data",-0.44,-0.693,0.646,-3.935,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,438,12,3,26,7
"70","METAPRISM","MP-0979-D01","MP-0979-D10","18",84,57,9,3.606,26.139,49,3.606,NA,357464,688594,0.824,26,NA,"DUP",331131,"Amplification","HL_gain",331130,"ENOSF1","No_data","No_data","No_data","No_data",0.142,0.143,0.105,-0.214,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,15,3,0,1,0
"71","MET500","SRR4306948","SRR4306947","18",98,96,20,2.23982626446989,0.463809413521299,47,2.23982626446989,0.463809413521299,480761,1276106,0.675019755675239,17,6,NA,NA,NA,NA,795345,"COLEC12","No_data","No_data","No_data","No_data",0.131,0.137,0.123,-0.402,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,9,0,1,2,0
"72","MET500","SRR4306948","SRR4306947","18",98,96,20,2.23982626446989,0.463809413521299,47,2.23982626446989,0.463809413521299,480761,1276106,0.675019755675239,17,6,NA,NA,NA,NA,795345,"CETN1","No_data","No_data","No_data","No_data",0.206,0.206,0.09,-0.291,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,5,0,0,0,0
"73","MET500","SRR4306948","SRR4306947","18",98,96,20,2.23982626446989,0.463809413521299,47,2.23982626446989,0.463809413521299,480761,1276106,0.675019755675239,17,6,NA,NA,NA,NA,795345,"CLUL1","No_data","No_data","No_data","No_data",0.083,0.081,0.096,-0.536,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
